3,2
4,5
5,4
6,6
7,13
8,9
9,21
10,11
11,10
12,19
13,14
14,35
15,19
16,16
17,36
18,25
19,20
20,47
21,29
22,24
23,81
24,45
25,32
26,27
27,59
28,41
29,35
30,30
31,66
32,50
33,40
34,35
35,85
36,55
37,47
38,40
39,118
40,75
41,59
42,49
43,44
44,107
45,71
46,60
47,53
48,48
49,110
50,86
51,71
52,61
53,54
54,135
55,90
56,77
57,67
58,61
59,192
60,121
61,95
62,84
63,72
64,64
65,158
66,115
67,97
68,85
69,75
70,70
71,183
72,138
73,111
74,96
75,83
76,77
77,197
78,140
79,120
80,106
81,95
82,87
83,277
84,190
85,145
86,123
87,109
88,97
89,89
90,241
91,171
92,148
93,127
94,116
95,104
96,96
97,253
98,194
99,155
100,139
101,125
102,113
103,105
104,295
105,209
106,175
107,153
108,138
109,124
110,113
111,350
112,254
113,205
114,176
115,158
116,141
117,128
118,120
119,363
120,249
121,204
122,180
123,161
124,145
125,134
126,126
127,367
128,275
129,222
130,199
131,178
132,161
133,148
134,138
135,390
136,282
137,238
138,206
139,189
140,172
141,159
142,147
143,537
144,363
145,293
146,250
147,218
148,196
149,181
150,164
151,153
152,461
153,322
154,278
155,244
156,218
157,200
158,185
159,172
160,164
161,521
162,373
163,307
164,270
165,236
166,213
167,199
168,184
169,171
170,504
171,381
172,320
173,285
174,258
175,237
176,216
177,199
178,188
179,928
180,487
181,378
182,324
183,289
184,258
185,238
186,216
187,203
188,192
189,624
190,447
191,373
192,327
193,293
194,269
195,247
196,230
197,214
198,201
199,658
200,480
201,394
202,348
203,309
204,283
205,261
206,243
207,227
208,212
209,752
210,513
211,433
212,380
213,338
214,309
215,275
216,259
217,243
218,228
219,1103
220,633
221,500
222,424
223,373
224,336
225,309
226,287
227,266
228,251
229,239
230,924
231,602
232,478
233,412
234,376
235,342
236,314
237,295
238,274
239,261
240,247
241,937
242,605
243,506
244,451
245,404
246,369
247,340
248,314
249,295
250,273
251,258
252,904
253,645
254,531
255,474
256,427
257,391
258,357
259,332
260,310
261,293
262,276
263,265
264,844
265,656
266,549
267,482
268,431
269,398
270,364
271,337
272,315
273,297
274,282
275,1150
276,733
277,615
278,538
279,473
280,437
281,402
282,375
283,350
284,329
285,312
286,297
287,1276
288,819
289,666
290,567
291,507
292,462
293,417
294,389
295,364
296,342
297,324
298,310
299,1399
300,839
301,700
302,607
303,545
304,490
305,449
306,415
307,390
308,368
309,349
310,332
311,316
312,1085
313,817
314,668
315,582
316,532
317,489
318,454
319,417
320,396
321,375
322,357
323,340
324,324
325,955
326,768
327,677
328,596
329,544
330,504
331,470
332,439
333,410
334,386
335,364
336,348
337,1519
338,995
339,801
340,699
341,626
342,572
343,529
344,490
345,456
346,430
347,404
348,385
349,368
350,353
351,1054
352,874
353,759
354,673
355,609
356,552
357,507
358,477
359,449
360,425
361,405
362,387
363,371
364,1442
365,1038
366,839
367,739
368,669
369,610
370,563
371,528
372,489
373,463
374,442
375,419
376,397
377,377
378,1182
379,928
380,808
381,721
382,661
383,612
384,565
385,526
386,496
387,472
388,448
389,428
390,412
391,391
392,1308
393,1030
394,891
395,796
396,710
397,652
398,608
399,565
400,526
401,490
402,468
403,444
404,426
405,408
406,1325
407,1032
408,906
409,799
410,721
411,671
412,623
413,584
414,549
415,521
416,496
417,473
418,454
419,438
420,420
421,1317
422,1064
423,922
424,821
425,748
426,689
427,635
428,587
429,554
430,526
431,501
432,476
433,455
434,435
435,1483
436,1158
437,983
438,883
439,809
440,750
441,696
442,651
443,612
444,575
445,547
446,521
447,499
448,478
449,459
450,1899
451,1306
452,1090
453,952
454,852
455,775
456,709
457,661
458,625
459,587
460,561
461,533
462,512
463,492
464,471
